X: 46.974021911621094, Y: 13.783796310424805
X: 46.40555191040039, Y: 13.784690856933594
X: 46.12832260131836, Y: 13.776681900024414
X: 45.28377914428711, Y: 13.767744064331055
X: 44.7393798828125, Y: 13.763978958129883
X: 44.155330657958984, Y: 13.759894371032715
X: 43.5009651184082, Y: 13.755377769470215
X: 42.77685546875, Y: 13.750788688659668
X: 41.988895416259766, Y: 13.745753288269043
X: 41.140960693359375, Y: 13.740435600280762
X: 39.73805236816406, Y: 13.731704711914062
X: 38.73072052001953, Y: 13.724892616271973
X: 37.207183837890625, Y: 13.712973594665527
X: 36.15943145751953, Y: 13.706945419311523
X: 35.0466423034668, Y: 13.70474624633789
X: 33.88295364379883, Y: 13.707419395446777
X: 33.28964614868164, Y: 13.7105073928833
X: 32.06818771362305, Y: 13.719862937927246
X: 30.78963851928711, Y: 13.734025955200195
X: 29.46232795715332, Y: 13.753039360046387
X: 28.09998893737793, Y: 13.7770357131958
X: 26.705331802368164, Y: 13.806070327758789
X: 25.25820541381836, Y: 13.840620040893555
X: 23.75012969970703, Y: 13.880842208862305
X: 22.207504272460938, Y: 13.925895690917969
X: 20.65909194946289, Y: 13.974946022033691
X: 19.16699981689453, Y: 14.025989532470703
X: 17.75937843322754, Y: 13.998406410217285
X: 15.820819854736328, Y: 13.916817665100098
X: 14.639391899108887, Y: 13.877398490905762
X: 13.538265228271484, Y: 13.84299373626709
X: 12.507058143615723, Y: 13.812874794006348
X: 11.033437728881836, Y: 13.772356033325195
X: 10.100348472595215, Y: 13.74687385559082
X: 9.650802612304688, Y: 13.734593391418457
X: 8.785786628723145, Y: 13.710968017578125
X: 7.565002918243408, Y: 13.677626609802246
X: 6.80068826675415, Y: 13.656758308410645
X: 6.0776214599609375, Y: 13.63701343536377
X: 5.391416549682617, Y: 13.61827278137207
X: 4.73720121383667, Y: 13.600403785705566
X: 3.817924976348877, Y: 13.575296401977539
X: 2.959416151046753, Y: 13.551850318908691
X: 2.4202170372009277, Y: 13.53718090057373
X: 1.9079132080078125, Y: 13.52323055267334
X: 1.4086458683013916, Y: 13.509685516357422
X: 0.5765093564987183, Y: 13.48709487915039
X: 0.26877090334892273, Y: 13.478734970092773
X: -0.39443451166152954, Y: 13.460700035095215
X: -1.482498288154602, Y: 13.431111335754395
X: -2.2462146282196045, Y: 13.410274505615234
X: -3.044482469558716, Y: 13.388456344604492
X: -3.884222984313965, Y: 13.374855995178223
X: -4.7618536949157715, Y: 13.357827186584473
X: -6.159662246704102, Y: 13.328871726989746
X: -6.64951229095459, Y: 13.318713188171387
X: -8.161219596862793, Y: 13.286888122558594
X: -8.669890403747559, Y: 13.27912425994873
X: -9.180689811706543, Y: 13.273439407348633
X: -9.69283390045166, Y: 13.268263816833496
